0	1	2	-0.5633104553
0	1	3	-0.1816941806
0	1	4	-0.1621866416
0	1	5	0.2034706093
0	1	6	-0.5635934971
0	1	7	0.0476564875
0	1	8	-0.1347991286
0	1	9	-1.1548078516
1	5	6	-0.2351508806
1	5	7	1.8474726129
1	5	8	0.1290297128
1	5	9	0.0000000000
1	7	8	0.0578555433
1	7	9	0.0635917395
0	2	3	-0.0000000000
0	2	4	-0.7081929946
0	2	5	-0.0000000000
0	2	6	-1.9260177911
0	2	7	-0.0092595525
0	2	8	-0.0000000000
0	2	9	-0.6848670347
1	8	9	-0.1739854127
2	3	4	-0.1003147008
2	3	5	0.2108168097
2	3	6	0.0079146547
2	3	7	-0.1462604878
2	3	8	0.3147345549
2	3	9	0.0491078893
0	6	7	0.0577675040
0	6	8	-0.1173606765
0	6	9	-3.4718144702
2	4	5	0.1564052418
2	4	6	0.0525428864
2	4	7	-0.7392108332
2	4	8	0.2335019405
2	4	9	-0.0281228639
2	6	7	0.0650354985
2	6	8	0.0525428864
2	6	9	-4.6708808475
0	3	4	0.3254882811
0	3	5	2.1831966923
0	3	6	-0.1581890935
0	3	7	-0.0000000000
0	3	8	3.2593579238
0	3	9	0.3700231159
2	5	6	-0.1434938044
2	5	7	0.1935921981
2	5	8	1.8369770808
2	5	9	0.0000000000
2	7	8	0.1106260546
2	7	9	-1.9678420444
0	5	6	0.4390395428
0	5	7	-0.0000000000
0	5	8	1.9953698688
0	5	9	0.0000000000
2	8	9	0.0165840600
3	5	6	0.3752715279
3	5	7	0.2108168097
3	5	8	1.8884073294
3	5	9	0.0000000000
0	8	9	0.2454652703
3	4	5	1.8884073294
3	4	6	0.3147345549
3	4	7	0.1204688626
3	4	8	2.8192582987
3	4	9	0.5608235919
3	8	9	0.2257080769
0	4	5	0.1992630217
0	4	6	-0.0706896819
0	4	7	0.0000000000
0	4	8	0.2974855683
0	4	9	-0.4162543063
3	7	8	0.1204688626
3	7	9	0.1009424711
4	6	7	0.0392887526
4	6	8	0.2335019405
4	6	9	-0.1724794787
1	2	3	-0.1238579837
1	2	4	-0.1558255820
1	2	5	0.2287068207
1	2	6	-2.0085821387
1	2	7	-0.0970785393
1	2	8	-0.1082420381
1	2	9	-0.0002803433
4	7	8	-0.0783554655
4	7	9	-1.0176285755
4	8	9	0.3720381475
1	4	5	0.1290297128
1	4	6	0.0562935739
1	4	7	0.0578555433
1	4	8	-0.0854820896
1	4	9	0.1485010248
3	6	7	-0.1054084049
3	6	8	-0.1003147008
3	6	9	0.1009424711
4	5	6	0.1149903855
4	5	7	0.0247258673
4	5	8	1.7259421005
4	5	9	0.0000000000
0	7	8	0.0000000000
0	7	9	-0.8382360752
5	6	7	0.1223880585
5	6	8	0.2784143927
5	6	9	-0.0000000000
5	7	8	0.0247258673
5	7	9	-0.0000000000
1	3	4	-0.1152203162
1	3	5	0.1739176520
1	3	6	-0.6789669584
1	3	7	-0.0869588260
1	3	8	-0.1152203162
1	3	9	-0.1314638428
5	8	9	-0.0000000000
6	7	8	0.0701304377
6	7	9	-0.0279274281
1	6	7	0.0378507726
1	6	8	0.0096225793
1	6	9	-2.1115185027
6	8	9	-0.8351885975
7	8	9	-0.0272777416
